"","individualID","Sex","sampleAge","sampleID2","collDate","collTime","NTXnM","uMidOC_ng_ml","SpecificGravity","creatinine","DOB","Collector","Substrate","CollectComments","assayDate.x","assayDate.y","Plate_U.MidOC","assay1value","assay1cv","assay2value","assay2cv","NTXnM_SG"
"134","Harper","Female",65.12,"O167.2","2/14/17","14:20:00",802.8,0.885,1.017,4.214,"1/1/52","Jeremy","V1: leaves
V2: ground leaves ","1593 ID 
","6/19/18","6/19/18",NA,NA,NA,NA,NA,13.0040697039222
"135","Harper","Female",65.99,"A59","12/28/17","9:50:00",851,5.31,1.019,4.684,"1/1/52","Izzi","LiveLeaf,DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,13.7577766268067
"136","Harper","Female",66.13,"A231","2/18/18","9:10:00",243,0.99,1.004,NA,"1/1/52","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,3.98717629482072
"137","Harper","Female",66.36,"A514","5/13/18","16:40:00",616.2,4.712,1.026,4.027,"1/1/52","Izzi","DryLeaf,","Not sure if she ever joined whole party within two hours prior ","6/19/18","6/19/18",NA,NA,NA,NA,NA,9.89389304021371
"139","Harper","Female",66.4,"A586A","5/28/18","12:23:00",3000.8,24.386,1.025,8.703,"1/1/52","Izzi","DryLeaf,LiveLeaf,","Vial B collected from big leaf puddle - diluted with rain","6/19/18","6/19/18",NA,NA,NA,NA,NA,48.2287563986751
"140","Hester","Female",14.97,"398","9/23/16","17:07:00",864,10.733,1.015,3.412,"10/5/01","Natasha","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,14.0229885057471
"141","Hester","Female",15.06,"O028","10/26/16","15:30:00",913.4,8.059,1.01,NA,"10/5/01","Jeremy","Leaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,14.898155787801
"143","Hester","Female",15.25,"O119","1/3/17","14:25:00",702.3,3.31,1.008,2.588,"10/5/01","Jeremy","Vial 1: leaf
Vial2: ground leaves (dirty)","9671 ID ","6/23/21","6/19/18",NA,NA,NA,NA,NA,11.4777038323045
"144","Hester","Female",15.25,"O115","1/3/17","9:30:00",430.8,3.629,1.005,NA,"10/5/01","Jeremy","Leaf,","9671 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,7.06159019716234
"145","Hester","Female",15.25,"O116","1/3/17","10:20:00",504.2,2.836,1.005,2.655,"10/5/01","Jeremy","Leaf,","9671 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,8.26474878692956
"146","Hester","Female",15.25,"O119","1/3/17","14:25:00",465,3.31,1.008,2.588,"10/5/01","Jeremy","Vial 1: leaf
Vial2: ground leaves (dirty)","9671 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,7.59950488683128
"147","Hester","Female",15.29,"O125","1/20/17","13:45:00",2375.2,3.216,1.015,3.412,"10/5/01","Jeremy","Leaf,","9916 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,38.5502341421882
"148","Hester","Female",15.38,"O169","2/20/17","14:00:00",1417.8,6.654,1.005,2.86,"10/5/01","Jeremy","Leaf,","1975 ID 
Estrous II","6/19/18","6/19/18",NA,NA,NA,NA,NA,23.2403031140593
"149","Hester","Female",15.4,"O186","3/1/17","10:05:00",2485.2,25.982,1.014,4.588,"10/5/01","Jeremy","Leaf,","2657 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,40.3753469939368
"150","Hester","Female",15.46,"O215","3/21/17","11:40:00",1774,18.694,1.018,4.924,"10/5/01","Jeremy","Leaf,","3945 ID. In estrous.","6/19/18","6/19/18",NA,NA,NA,NA,NA,28.7077209003372
"151","Hester","Female",15.51,"O252","4/9/17","11:10:00",887,11.845,1.017,4.089,"10/5/01","Jeremy","Ground,","6120 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,14.3679743739151
"152","Ingrid","Female",26.89,"A445","4/21/18","10:35:00",260.3,NA,1.004,NA,"6/1/91","Izzi","LiveLeaf,","","6/22/21",NA,NA,NA,NA,NA,NA,4.27103699399931
"153","Jolie","Female",32.18,"O204","3/9/17","12:00:00",834.4,1.578,1.014,3.155,"1/1/85","Jeremy","Ground,","3671 ID ","6/14/18","6/14/18",NA,NA,NA,NA,NA,13.555926899944
"154","Jolie","Female",32.25,"O239","4/3/17","13:15:00",1601.3,3.436,1.024,3.93,"1/1/85","Jeremy","Ground,","4954-58 ID","6/14/18","6/14/18",NA,NA,NA,NA,NA,25.7611724476756
"155","Jolie","Female",32.25,"O240","4/3/17","15:35:00",1203.5,3.133,1.024,3.807,"1/1/85","Jeremy","Ground,","4954-58 ID","6/14/18","6/14/18",NA,NA,NA,NA,NA,19.3615006811825
"156","Jolie","Female",33.15,"A268","2/25/18","13:15:00",797.5,7.902,1.02,3.699,"1/1/85","Izzi","DryLeaf,LiveLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,12.8802234628419
"157","Jolie","Female",33.31,"A471","4/26/18","11:45:00",256.9,2.939,1.004,NA,"1/1/85","Izzi","LiveLeaf,DryLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,4.21524934213762
"158","Joya","Female",5.7,"1139","4/26/17","16:20:18",5173.6,32.276,1.017,3.188,"8/15/11","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,83.8040047586099
"160","Joya","Female",6.52,"A237","2/19/18","10:47:00",1557.2,14.793,1.012,2.713,"8/15/11","Izzi","DryLeaf,Ground,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,25.3487623822769
"161","Joya","Female",6.64,"A371","4/5/18","11:40:00",1461,17.17,1.016,2.54,"8/15/11","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,23.6891449766696
"162","Joya","Female",6.67,"A427","4/18/18","14:10:00",1132,31.44,1.019,3.39,"8/15/11","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,18.3005912356583
"163","Joya","Female",6.75,"A524","5/17/18","11:40:00",1647,29.374,1.017,3.081,"8/15/11","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,26.6787528679122
"164","Joya","Female",6.76,"A552","5/20/18","13:47:00",3014.8,40.274,1.026,6.162,"8/15/11","Izzi","LiveLeaf,DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,48.4065380357616
"165","Joya","Female",6.79,"A610","5/31/18","15:13:00",1631.2,32.651,1.02,3.197,"8/15/11","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,26.3451040910191
"167","Julianne","Female",39.94,"A34","12/11/17","16:10:00",2936.3,5.021,1.027,NA,"1/1/78","Izzi","LiveLeaf,DryLeaf,","","6/22/21","17-Dec-19",8,5.021,1.8,NA,NA,47.1002117217835
"168","Julianne","Female",40.23,"A338","3/27/18","15:06:00",232.6,1.668,1.013,NA,"1/1/78","Izzi","DryLeaf,LiveLeaf,","Estrus","6/23/21","17-Dec-19",8,1.668,2.1,NA,NA,3.78262373100313
"169","Julianne","Female",40.4,"A585","5/28/18","12:00:00",270.8,4.234,1.016,NA,"1/1/78","Izzi","DryLeaf,LiveLeaf,","","6/23/21","17-Dec-19",8,4.234,0.6,NA,NA,4.39084220375231
"170","Kaija","Female",7.25,"A313","3/5/18","12:40:00",7150.9,37.232,1.031,NA,"12/5/10","Izzi","DryLeaf,LiveLeaf,","","6/22/21","17-Dec-19",8,37.232,1.5,NA,NA,114.260183538696
"171","Kaija","Female",7.48,"A592","5/30/18","9:55:00",2436,46.15,1.018,NA,"12/5/10","Izzi","LiveLeaf,","","6/23/21","17-Dec-19",8,46.15,1.3,NA,NA,39.4205231754348
"172","Khutulun","Female",15.36,"O030","10/28/16","12:45:00",955.2,4.319,1.005,NA,"6/17/01","Jeremy","Leaf,","4650-52 ID
Charles also confirmed ","6/18/18","6/18/18",NA,NA,NA,NA,NA,15.6574534733739
"173","Khutulun","Female",15.46,"O077.2","12/3/16","8:30:00",2293.9,13.832,1.015,3.545,"6/17/01","Jeremy","Bag,","7303-19 ID","6/18/18","6/18/18",NA,NA,NA,NA,NA,37.2307098765432
"174","Khutulun","Female",15.63,"O150","2/2/17","9:45:00",3331,20.155,1.017,4.873,"6/17/01","Jeremy","Leaf,","0751 ID ","6/18/18","6/18/18",NA,NA,NA,NA,NA,53.956846267769
"175","Khutulun","Female",15.63,"O153","2/3/17","12:40:00",8167,11.408,1.025,7.053,"6/17/01","Jeremy","Leaf,","0826 ID ","6/18/18","6/18/18",NA,NA,NA,NA,NA,131.259748569708
"176","Khutulun","Female",16.5,"A40","12/17/17","9:33:49",521,7.929,1.007,2.574,"6/17/01","Izzi","Ground,DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,8.52316960290314
"177","Khutulun","Female",16.5,"A41","12/17/17","11:40:00",674.3,13.011,1.012,2.744,"6/17/01","Izzi","DryLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,10.9765415324745
"178","Khutulun","Female",16.5,"A42","12/17/17","12:30:00",1257,21.623,1.018,3.277,"6/17/01","Izzi","Ground,DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,20.341378338063
"179","Khutulun","Female",16.51,"A46","12/20/17","15:45:00",1374.1,16.009,1.015,4.259,"6/17/01","Izzi","LiveLeaf,DryLeaf,","Alone; late adolescent or young adult female; didnêt strike me as khutulun... But photo confirmed it was Khutulun - tube labeled ""Catalan""","6/18/18","6/18/18",NA,NA,NA,NA,NA,22.3020700297999
"180","Khutulun","Female",16.82,"A399","4/12/18","12:34:00",1246.3,40.052,1.015,3.898,"6/17/01","Izzi","DryLeaf,LiveLeaf,","","6/18/18","6/18/18",NA,NA,NA,NA,NA,20.2278363133248
"181","Khutulun","Female",16.83,"A418","4/16/18","15:20:00",2410.6,18.036,1.033,6.165,"6/17/01","Izzi","LiveLeaf,DryLeaf,","Unsure exactly when she arrived but seemed like right after most of party left ","6/18/18","6/18/18",NA,NA,NA,NA,NA,38.4430386743633
"182","Kidman","Female",40.23,"O222.2","3/26/17","9:00:00",1535.4,7.549,1.017,4.044,"1/1/77","Jeremy","Bag,","Still wheezing. ID confirmed by Charles. 
4322 ID ","6/14/18","6/14/18",NA,NA,NA,NA,NA,24.8710122364252
"183","Kidman","Female",40.23,"O223","3/26/17","9:35:44",1341.6,7.4,1.016,4.628,"1/1/77","Jeremy","Ground,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,21.7531532516769
"184","Kidman","Female",40.23,"O224","3/26/17","11:20:00",1562.3,4.551,1.014,4.029,"1/1/77","Jeremy","Leaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,25.3816210400078
"185","Kidman","Female",40.23,"O225","3/26/17","11:50:00",1297.5,6.086,1.018,4.569,"1/1/77","Jeremy","Leaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,20.9967688095758
"186","Kidman","Female",40.23,"O226","3/26/17","13:10:00",3108.3,6.515,1.021,6.12,"1/1/77","Jeremy","Bag, ","","6/14/18","6/14/18",NA,NA,NA,NA,NA,50.1522087096892
"187","Kidman","Female",41.16,"A281","2/28/18","10:10:00",381.7,1.068,1.008,2.509,"1/1/77","Izzi","LiveLeaf,","~2 hours after infanticide","6/14/18","6/14/18",NA,NA,NA,NA,NA,6.23813121570645
"188","Kozena","Female",4.29,"170","6/27/16","11:50",3435.6,34.726,1.021,3.617,"3/12/12","David","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,55.4331719084413
"189","Kozena","Female",4.44,"255","8/18/16","9:44:00",3544.2,35.091,1.022,4.555,"3/12/12","Jacob","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,57.1294710806697
"190","Kozena","Female",4.46,"287","8/26/16","14:26:00",3208.6,18.146,1.028,3.761,"3/12/12","Natasha","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,51.418019227074
"191","Kozena","Female",4.97,"909","3/2/17","10:45:00",2035,32.9,1.013,2.926,"3/12/12","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,33.0938920575726
"192","Kozena","Female",4.98,"O196","3/5/17","11:35:50",1956,12.012,1.013,2.639,"3/12/12","Jeremy","Leaf,Ground,","3357 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,31.8091660268363
"196","Leonora","Female",41.23,"A334","3/27/18","12:30:10",194.9,0.753,1.015,NA,"1/1/77","Izzi","DryLeaf,LiveLeaf,","Estrus","6/23/21","11-Dec-19",1,1.695,79.2,0.753,1.9,3.16328756917838
"198","Lombard","Female",4.12,"A598","5/30/18","15:30:00",2456.2,NA,1.02,NA,"4/15/14","Izzi","LiveLeaf,","","6/23/21","11-Dec-19",1,0,NA,NA,NA,39.6694731905108
"200","Miliah","Female",12.11,"O018","10/13/16","15:30:00",3091.4,19.996,1.02,3.824,"9/1/04","Jeremy","Leaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,49.9284298595982
"201","Miliah","Female",12.19,"O049","11/11/16","10:20:00",5713.6,21.149,1.01,3.076,"9/1/04","Jeremy","Leaf,","5620 ID
5630-31","6/20/18","6/20/18",NA,NA,NA,NA,NA,93.1925803691481
"202","Miliah","Female",12.26,"O085","12/5/16","15:45:00",1942.2,7.603,1.009,2.72,"9/1/04","Jeremy","Leaf,","7586-88 ID ","6/20/18","6/20/18",NA,NA,NA,NA,NA,31.7099576037881
"203","Miliah","Female",12.27,"O086","12/7/16","10:15:00",12570,33.139,1.024,8.987,"9/1/04","Jeremy","Leaf,","7671-74 ID","6/20/18","6/20/18",NA,NA,NA,NA,NA,202.221905743634
"204","Miliah","Female",12.4,"O131","1/24/17","11:35:13",4601.4,21.664,1.016,4.17,"9/1/04","Jeremy","Leaf,","0144 ID ","6/20/18","6/20/18",NA,NA,NA,NA,NA,74.6086459244678
"205","Miliah","Female",12.65,"1147","4/27/17","16:00:06",538,5.387,1.005,NA,"9/1/04","Rebecca","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,8.81879184325288
"206","Miliah","Female",12.72,"1211","5/21/17","16:12:25",2150.4,34.434,1.016,3.972,"9/1/04","Rebecca","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,34.867308253135
"207","Miliah","Female",13.39,"A129","1/23/18","15:05:00",2703.2,21.872,1.02,5.26,"9/1/04","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,43.6587085451465
"208","Miliah","Female",13.71,"A521","5/17/18","9:50:14",468.8,7.75,1.005,NA,"9/1/04","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,7.68447884036608
"209","Naidu","Female",6.1,"1087","4/13/17","11:28:00",1641.5,4.848,1.005,NA,"3/9/11","Rebecca","","","6/14/18","6/14/18",NA,NA,NA,NA,NA,26.9071502057613
"210","Naidu","Female",6.18,"1191","5/13/17","15:25:09",2949.5,32.072,1.013,2.71,"3/9/11","Rebecca","","","6/14/18","6/14/18",NA,NA,NA,NA,NA,47.9658155399559
"211","Naidu","Female",6.18,"1193","5/13/17","16:48:43",2501,29.841,1.016,3.289,"3/9/11","Rebecca","","","6/14/18","6/14/18",NA,NA,NA,NA,NA,40.5520544740935
"213","Naidu","Female",6.98,"A296","3/2/18","14:43:00",500.8,1.04,1.003,NA,"3/9/11","Izzi","LiveLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,8.22538557168003
"214","Naidu","Female",7.2,"A541","5/19/18","13:35:00",2361.7,19.841,1.018,3.11,"3/9/11","Izzi","DryLeaf,LiveLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,38.2181648536225
"215","Nina","Female",4.9,"A328","3/24/18","15:55:00",782.2,1.818,1.005,NA,"5/1/13","Izzi","DryLeaf,LiveLeaf,","","6/22/21","16-Dec-19",6,2.531,24.9,1.818,7.3,12.8216709661569
"216","Nina","Female",4.97,"A437","4/20/18","10:45:00",1365.6,18.737,1.011,NA,"5/1/13","Izzi","LiveLeaf,DryLeaf,","","6/22/21","16-Dec-19",6,18.737,0.8,NA,NA,22.2518042275708
"217","Nina","Female",4.98,"A456","4/23/18","11:15:00",2583.9,44.018,1.019,NA,"5/1/13","Izzi","LiveLeaf,","","6/22/21","16-Dec-19",6,44.018,3.3,NA,NA,41.7728778213935
"219","Renata","Female",12.43,"233","8/4/16","12:45:00",9137.5,30.997,1.029,5.568,"3/1/04","David","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,146.286716847233
"220","Renata","Female",12.79,"O097","12/16/16","16:20:00",3682.6,31.248,1.017,4.098,"3/1/04","Jeremy","Leaf,","8380-84 ID. In estrous ","6/19/18","6/19/18",NA,NA,NA,NA,NA,59.6522011605181
"221","Renata","Female",12.91,"O137","1/28/17","9:00:00",1295.2,1.91,1.005,NA,"3/1/04","Jeremy","Bag,","Dark face, prominent brow. Looks like Renata 
0356 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,21.2306676494073
"222","Renata","Female",12.91,"O138","1/28/17","10:00:00",1437.8,4.844,1.008,NA,"3/1/04","Jeremy","Leaf,","0356 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,23.4979959705076
"223","Renata","Female",12.92,"O141","1/30/17","10:50:00",3181.6,21.151,1.018,4.085,"3/1/04","Jeremy","Leaf,","0483 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,51.486180843581
"224","Renata","Female",12.98,"O173","2/23/17","16:10:00",7942.5,31.219,1.027,5.843,"3/1/04","Jeremy","V1: leaf
V2: ground leaves","2314 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,127.403000919615
"225","Renata","Female",13.05,"955","3/20/17","14:45:00",4855,27.617,1.023,4.679,"3/1/04","RD","L","","6/19/18","6/19/18",NA,NA,NA,NA,NA,78.1819464055128
"226","Renata","Female",13.07,"O221","3/25/17","16:45:39",4149.6,20.254,1.037,5.016,"3/1/04","Jeremy","Leaf,","No ID pic and determined it was Renata. Only other possibility was Tori, but she was away with mother. In estrous","6/19/18","6/19/18",NA,NA,NA,NA,NA,65.9204793028323
"227","Renata","Female",14.06,"A322","3/23/18","10:45:00",3481.2,32.066,1.034,7.394,"3/1/04","Izzi","LiveLeaf,DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,55.4627390930583
"228","Rosalind","Female",4.22,"A259","2/22/18","12:27:00",1615.8,16.033,1.016,NA,"12/4/13","Izzi","DryLeaf,Ground,LiveLeaf,"," Vial1 not collected from ground","6/22/21","17-Dec-19",8,16.033,1,NA,NA,26.1991241980169
"230","Ruth","Female",14.71,"O066","11/26/16","14:30:00",2715.6,15.229,1.016,4.281,"3/12/02","Jeremy","Leaf,","ID by Ambrose. No picture. Slightly drizzling rain when collecting. ","6/19/18","6/19/18",NA,NA,NA,NA,NA,44.0316509915427
"232","Ruth","Female",14.89,"O143","1/31/17","13:00:00",2395.6,3.926,1.014,3.289,"3/12/02","Jeremy","Leaf,","0584-85 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,38.9196769912582
"233","Ruth","Female",15.08,"O250","4/9/17","9:50:00",1559.8,5.645,1.018,4.249,"3/12/02","Jeremy","Leaf,","No photo, but ID by Rachna. Small swelling ","6/19/18","6/19/18",NA,NA,NA,NA,NA,25.2414335176696
"235","Ruth","Female",15.91,"A201A","2/7/18","9:41:00",2698.8,18.307,1.021,5.923,"3/12/02","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,43.5449541118004
"236","Ruth","Female",15.92,"A214","2/11/18","8:55:00",1976,16.209,1.019,3.865,"3/12/02","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,31.9452016622445
"237","Ruth","Female",16.05,"A356","3/31/18","11:36:00",626.4,2.1,1.1,2.58,"3/12/02","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,9.38106060606061
"238","Ruth","Female",16.11,"A451","4/21/18","14:25:00",687,7.045,1.011,2.744,"3/12/02","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,11.1943391215152
"239","Sabin","Female",19.76,"A187","2/4/18","12:16:00",2013.2,14.079,1.028,NA,"5/1/98","Godfrey","","","6/22/21","11-Dec-19",1,14.079,3,NA,NA,32.2616581399818
"241","Sanger","Female",10.05,"A433","4/19/18","16:10:00",825.4,14.047,1.01,NA,"4/1/08","Izzi","LiveLeaf,","Alone, last seen at noon with Dahlia family, Sabin, Carson, Senta, Richmond","6/22/21","11-Dec-19",1,14.047,1.9,NA,NA,13.4628178095587
"245","Sutherland","Female",53.94,"O090","12/10/16","14:35:00",3041.7,5.046,1.019,6.304,"1/1/63","Jeremy","Leaf, ","7931 ID","6/14/18","6/14/18",NA,NA,NA,NA,NA,49.1739473158144
"246","Sutherland","Female",54.12,"O166","2/14/17","9:10:00",2755.9,1.404,1.013,3.93,"1/1/63","Jeremy","Ground,","1572 ID ","6/14/18","6/14/18",NA,NA,NA,NA,NA,44.8174236469112
"247","Sutherland","Female",54.24,"O236","3/30/17","13:30:00",1229.5,1.304,1.018,3.869,"1/1/63","Jeremy","V1: leaf
V2: ground","4771 ID; slight swelling, based on pictures from body size photos from that day.  ","6/14/18","6/14/18",NA,NA,NA,NA,NA,19.8963601166655
"248","Sutherland","Female",55.13,"A228","2/17/18","10:45:00",1231.6,1.694,1.017,3.702,"1/1/63","Izzi","DryLeaf,","","6/14/18","6/14/18",NA,NA,NA,NA,NA,19.9499405173774
"249","Sutherland","Female",55.15,"A275","2/25/18","16:35:00",991.3,0.9,1.016,3.831,"1/1/63","Izzi","LiveLeaf,","Estrus","6/14/18","6/14/18",NA,NA,NA,NA,NA,16.073271331535
"250","Taylor","Female",26.62,"A78","1/13/18","9:33:00",954.5,NA,1.016,NA,"6/1/91","Izzi","DryLeaf,LiveLeaf,","Estrus","6/22/21",NA,NA,NA,NA,NA,NA,15.476583764703
"251","Tori","Female",12.67,"A370","4/4/18","13:35:00",469.9,3.384,1.004,NA,"8/1/05","Izzi","LiveLeaf,","Estrus","6/23/21","11-Dec-19",1,3.384,8.8,NA,NA,7.71018164994344
"252","Wangari","Female",21.36,"A512","5/13/18","13:45:00",434.2,NA,1.008,NA,"1/1/97","Izzi","LiveLeaf,","","6/23/21",NA,NA,NA,NA,NA,NA,7.09613983196159
"255","Abrams","Male",18.12,"A83","1/14/18","17:07:40",1518.2,17.19,1.03,NA,"12/1/99","Aaron","DryLeaf,LiveLeaf,","","6/22/21","16-Dec-19",6,17.19,1,NA,NA,24.2820103679732
"256","Abrams","Male",18.22,"A234","2/18/18","13:15:00",713.1,5.191,1.018,NA,"12/1/99","Izzi","DryLeaf,","","6/22/21","16-Dec-19",6,5.191,2,NA,NA,11.5397270428582
"257","Abrams","Male",18.37,"A406","4/13/18","15:47:00",686.2,6.417,1.019,NA,"12/1/99","Izzi","Bag,","","6/23/21","16-Dec-19",6,6.572,NA,6.417,2.2,11.0935209416155
"258","Abrams","Male",18.46,"A543","5/19/18","15:35:00",491.1,7.939,1.016,NA,"12/1/99","Izzi","DryLeaf,LiveLeaf,","","6/23/21","16-Dec-19",6,7.939,4.4,NA,NA,7.96286043671625
"259","Abrams","Male",18.5,"A618","6/2/18","11:05:00",536.4,9.293,1.017,NA,"12/1/99","Izzi","LiveLeaf,DryLeaf,","","6/23/21","16-Dec-19",6,9.293,2.8,NA,NA,8.68881787392112
"260","Bach","Male",7.41,"74","5/1/16","15:09:00",222.8,2.178,1.004,NA,"12/1/08","Jacob","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,3.65573201023068
"261","Bach","Male",7.41,"75","5/1/16","13:09:00",1128,14.906,1.021,3.119,"12/1/08","Jacob","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,18.2002031414372
"262","Bach","Male",8.94,"A15","11/10/17","7:15:00",835.6,3.589,1.004,NA,"12/1/08","Aaron","LiveLeaf,","Rollins peed earlier in a similar spot so Iêm hoping this is distinctly Bach","6/20/18","6/20/18",NA,NA,NA,NA,NA,13.7106358516551
"263","Bach","Male",8.97,"A18","11/20/17","13:20:00",3379.8,26.061,1.019,4.187,"12/1/08","Aaron","DryLeaf,Ground,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,54.6398747864646
"264","Bach","Male",9.03,"A35","12/13/17","14:08:00",136,2.502,1.007,NA,"12/1/08","Aaron","Ground,","Very clear, had been wading from stream and hour earlier ; some other chimps had been around 2 hours ago ; maybe 3 females and infants??","6/20/18","6/20/18",NA,NA,NA,NA,NA,2.22485809212059
"265","Bach","Male",9.06,"A53","12/24/17","16:38:00",5858,27.402,1.022,3.724,"12/1/08","Aaron","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,94.4259470657873
"266","Bach","Male",9.14,"A126","1/23/18","10:50:00",4166.2,19.871,1.025,5.106,"12/1/08","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,66.9590258958145
"267","Bach","Male",9.14,"A128","1/23/18","14:10:00",4128.6,23.993,1.029,6.615,"12/1/08","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,66.0967813051147
"268","Bach","Male",9.15,"A142","1/26/18","16:44:00",613,3.402,1.004,NA,"12/1/08","Izzi","DryLeaf,LiveLeaf,","","6/20/18","13-Dec-19",5,3.402,1.8,NA,NA,10.0581854680045
"269","Bach","Male",9.15,"A142","1/26/18","16:44:00",613,3.2,1.004,NA,"12/1/08","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,10.0581854680045
"270","Bach","Male",9.31,"A327","3/24/18","13:55:00",536.2,8.543,1.011,2.507,"12/1/08","Izzi","LiveLeaf,DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,8.73712465350283
"271","Bach","Male",9.38,"A424","4/18/18","10:43:00",1500.6,7.653,1.012,2.889,"12/1/08","Izzi","LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,24.4274035646318
"272","Bach","Male",9.38,"A425","4/18/18","11:30:00",346.2,7.026,1.005,NA,"12/1/08","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,5.67484337571403
"273","Bach","Male",9.49,"A597","5/30/18","14:28:00",1352,16.327,1.018,2.811,"12/1/08","Izzi","Ground,DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,21.8787140119819
"277","Barron","Male",16.65,"A2","10/25/17","16:11:00",2659.8,NA,1.033,NA,"3/1/01","Aaron","Ground,log","SG: 1.033","6/22/21","12-Dec-19",3,NA,NA,NA,NA,42.4171551755047
"278","Barron","Male",16.88,"A86","1/15/18","10:12:00",679.7,0.079,1.01,NA,"3/1/01","Izzi","DryLeaf,Ground,","","6/22/21","16-Dec-19",6,0.079,1.3,NA,NA,11.0863548160372
"279","Barron","Male",17.21,"A532","5/18/18","15:18:00",564.4,NA,1.015,NA,"3/1/01","Izzi","DryLeaf,LiveLeaf,","","6/23/21","16-Dec-19",6,NA,NA,NA,NA,9.16038739889315
"280","Barron","Male",17.22,"A538","5/19/18","11:05:00",1149.7,NA,1.019,NA,"3/1/01","Izzi","DryLeaf,","","6/23/21","16-Dec-19",6,NA,NA,NA,NA,18.5867400562159
"281","Barron","Male",17.26,"A623","6/3/18","8:25:00",1801.7,NA,1.018,NA,"3/1/01","Aaron","LiveLeaf,DryLeaf,","","6/23/21","16-Dec-19",6,0.006,NA,NA,NA,29.1559756178903
